theta,rho,row_sum_error,P_inf_norm,inner_count,outer_count,annulus_count,family_lower,family_upper
0.325,0.9954780203058731,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.33,0.9954821937868205,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.335,0.995486438698196,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.34,0.9954907574628172,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.34500000000000003,0.9954951525169838,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.35000000000000003,0.9954996263168845,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.355,0.9955041813448474,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.36,0.9955088201154749,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.365,0.9955135451816306,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.37,0.9955183591404233,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.375,0.995523264639063,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.38,0.9955282643807749,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.385,0.9955333611306592,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.39,0.9955385577216059,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.395,0.9955438570602704,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.4,0.9955492621331364,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.405,0.995554776012684,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.41000000000000003,0.9955604018637042,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.41500000000000004,0.995566142949748,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.42,0.9955720026398566,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.425,0.9955779844154147,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.43,0.9955840918773304,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.435,0.9955903287534558,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.44,0.9955966989063945,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.445,0.9956032063415816,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.45,0.9956098552158341,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.455,0.9956166498462853,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.46,0.9956235947198117,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.465,0.995630694502992,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.47000000000000003,0.9956379540525891,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
